Locus,Total_Raw_Height,Final_Weight,Contributor_1_P,Contributor_2_P,Contributor_3_P,Contributor_4_P
D8S1179,225.0,0.05814697701315908,0.19925323301278092,0.23036991962508072,0.2429587341481325,0.3274181132140058
D21S11,144.0,0.04651758161052726,0.19374954624292895,0.2597220410454615,0.26250013073249306,0.2840282819791166
D7S820,125.0,0.0433401977625138,0.2080001409194075,0.21299995891974727,0.2329999691432346,0.34599993101761073
CSF1PO,227.0,0.05840483626928811,0.17929793749632683,0.21012787883719247,0.27621461445769846,0.3343595692087823
D3S1358,526.0,0.08890552569289906,0.14828926378215254,0.21910650849683527,0.2704375340255917,0.3621666936954206
TH01,398.0,0.07733523654083356,0.01633164658182421,0.14648239980340172,0.33065329571536767,0.5065326578994065
D13S317,284.0,0.06532735162270951,0.2053073884296692,0.20530738842966945,0.25270877936377606,0.3366764437768853
D16S539,222.0,0.05775802965786315,0.18853237052026314,0.24455623295947373,0.26642256029672284,0.30048883622354033
D2S1338,298.0,0.06691816358173341,0.14849081244625922,0.17030067055759726,0.27852418670595835,0.40268433029018524
D19S433,340.0,0.07147848528400103,0.1161712970533106,0.1455832810481365,0.24486100393035548,0.49338441796819743
vWA,273.0,0.06404971560227939,0.13186866976642422,0.17445050739667325,0.21657488621529628,0.47710593662160633
TPOX,263.0,0.06286570010240376,0.09632449439953317,0.23067175019700373,0.23067175019700434,0.4423320052064589
D18S51,150.0,0.04747680792252747,0.02666701101988552,0.21166748952502953,0.37833243645584874,0.3833330629992361
AMEL,311.0,0.06836220726636456,0.0,5.551115123125784e-17,5.551115123125784e-17,1.0
D5S818,271.0,0.06381466998159101,0.21356082286062503,0.21356082286062578,0.2799815590646431,0.29289679521410605
FGA,234.0,0.05929851408930585,0.12913638185581197,0.168428262727183,0.3244716174388999,0.3779637379781053
